iter	Passed	Remaining
892	4902	587
893	4907	581
894	4913	576
895	4918	570
896	4923	565
897	4928	559
898	4933	554
899	4939	548
900	4945	543
901	4950	537
902	4956	532
903	4961	526
904	4967	521
905	4972	515
906	4977	510
907	4983	504
908	4989	499
909	4994	493
910	5000	488
911	5007	483
912	5013	477
913	5020	472
914	5026	466
915	5033	461
916	5038	456
917	5044	450
918	5051	445
919	5057	439
920	5064	434
921	5071	429
922	5077	423
923	5083	418
924	5088	412
925	5094	407
926	5100	401
927	5105	396
928	5110	390
929	5117	385
930	5123	379
931	5129	374
932	5134	368
933	5140	363
934	5144	357
935	5152	352
936	5157	346
937	5162	341
938	5169	335
939	5175	330
940	5181	324
941	5188	319
942	5193	313
943	5201	308
944	5210	303
945	5218	297
946	5224	292
947	5231	286
948	5236	281
949	5242	275
950	5249	270
951	5256	265
952	5263	259
953	5269	254
954	5276	248
955	5283	243
956	5288	237
957	5295	232
958	5301	226
959	5307	221
960	5314	215
961	5320	210
962	5328	204
963	5334	199
964	5340	193
965	5347	188
966	5353	182
967	5357	177
968	5363	171
969	5368	166
970	5373	160
971	5379	154
972	5385	149
973	5390	143
974	5397	138
975	5402	132
976	5408	127
977	5414	121
978	5419	116
979	5426	110
980	5431	105
981	5437	99
982	5443	94
983	5449	88
984	5455	83
985	5462	77
986	5467	72
987	5472	66
988	5479	60
989	5486	55
990	5493	49
991	5499	44
992	5504	38
993	5512	33
994	5517	27
995	5524	22
996	5530	16
997	5536	11
998	5543	5
999	5549	0
